"District","trees","grassland","shrubs","cropland","built","bare","wetland"
"Chitipa",0.307990360777371,0.115097766450653,0.345926841978485,0.209233228959554,0.00415836598921028,0.0174942594235319,8.19161427670421e-05
"Karonga",0.3301931955817,0.0764917711882274,0.386592188672707,0.18753262084904,0.00377519038523139,0.0106220339187331,0.000353131910617715
"Nkhatabay",0.501180136434819,0.107158650479379,0.327317120702789,0.0499900680550809,0.0026905686893201,0.00720534643063143,0.000699639571171161
"Rumphi",0.351049455744565,0.240950341398404,0.23724115461674,0.157231765323948,0.00321619627658583,0.00683399741176044,0.00224144991770094
"Mzimba",0.139936876676258,0.092263610979509,0.333771627325242,0.387054555564635,0.00938830724651342,0.0363359894802355,0.000849688302333466
"Likoma",0.0672760006412864,0.323511998206377,0.357432003319263,0.00447200006921776,0.0311359999328852,0.0313480000384152,0.000223999993177131
"Mzuzu City",0.170140115984142,0.0428267442885256,0.218251163253647,0.29919418671184,0.18300581374726,0.0863325582151531,4.76744181617315e-05
"Kasungu",0.205782195924268,0.195589832350168,0.164774249739039,0.403486147854193,0.00699856885063275,0.0218510734254331,0.00112889031699395
"Nkhotakota",0.332227702196695,0.2625342698786,0.25256224326581,0.133152983441725,0.00342127083415477,0.00922737313005767,0.00210664470778713
"Ntchisi",0.114658552056035,0.156327939734169,0.157463459694699,0.540828134115651,0.0102194363979073,0.0204852284189932,1.00097182489136e-05
"Dowa",0.0282712541281994,0.17995301301818,0.1134775788983,0.623851357405871,0.0126415852557762,0.0410908795484127,0.000420955485589115
"Salima",0.0278182279242352,0.390668110554773,0.146963661333981,0.395170491787199,0.0139657299116378,0.0155594067323907,0.00413848556950636
"Lilongwe",0.0582186016279689,0.137983915940727,0.117596921232479,0.634005222601512,0.0164631132491913,0.0296901165598883,0.00516865201072771
"Mchinji",0.088068544709621,0.227023060017493,0.108459182425044,0.531790445047445,0.0123496548237541,0.0285909970148667,0.00328290528046437
"Dedza",0.0789463205084102,0.166405790090345,0.171624574692655,0.550354519315404,0.0127442652265653,0.0189101215769107,0.000444110494059734
"Ntcheu",0.0479835711357338,0.13047501268786,0.252967779029689,0.530710443415273,0.0117841823967924,0.0259369078645987,0
"Lilongwe City",0.0908877048475647,0.100771516374793,0.0552145491887519,0.443646926284198,0.235368647576177,0.0736836066491348,2.27459015269367e-05
"Mangochi",0.173260571010477,0.199989837841366,0.286051849284865,0.300302517802107,0.00703748216094958,0.023602297242727,0.00439435433222461
"Machinga",0.0691569681652848,0.108172781526364,0.285693060267865,0.484077502567828,0.00771112060339152,0.0377286405304852,0.00573606370893524
"Zomba",0.0423609047849388,0.0999357485494813,0.166514858268139,0.63867649861831,0.0093578889419589,0.0377286502786191,0.00442445751703048
"Chiradzulu",0.0247634594786104,0.0507376215876571,0.100255783724078,0.79009037847316,0.0090252973036636,0.0243843243568679,0.000582054055860656
"Blantyre",0.0740227272676081,0.219072541742649,0.27452898902893,0.396498097924813,0.0112364564529259,0.0233453154292952,0.000235018547242355
"Mwanza",0.169576956619486,0.2116918476178,0.416548695403743,0.172203043468432,0.0106711956555797,0.0191546739817014,0
"Thyolo",0.160934968019864,0.0536128776981147,0.352812431793682,0.396535760497179,0.00946676575852432,0.0256477959675207,1.21347201979048e-05
"Mulanje",0.159312217287039,0.129146112732102,0.11448708356127,0.526738667594027,0.0100186343285341,0.0594216371966141,0.000401563142142912
"Phalombe",0.0256384005673668,0.0951664245171991,0.0974103106316771,0.678524455087117,0.0143364838417002,0.0698982815328021,0.0136846001744918
"Chikwawa",0.209047978266022,0.331159600710759,0.292765792583524,0.136038436758491,0.00442036880944778,0.0233876501749523,0.000457959739754996
"Nsanje",0.210444857484559,0.247429386325784,0.336899092531616,0.15731966292171,0.00585345722634851,0.0326313309790496,0.00586568712022509
"Balaka",0.0345649689360857,0.150515163377511,0.26584673404286,0.505910147800159,0.010413102649453,0.0298975894620978,0.000464502329524912
"Neno",0.0833147167675628,0.255557014084407,0.51711609378179,0.114966172549222,0.00725500265778926,0.0202691900802814,9.14240353994351e-05
"Zomba City",0.290382002294064,0.0204860000684857,0.23940199971199,0.220125999522861,0.179259999886854,0.050037999888882,0.000305999997508479
"Blantyre City",0.228603793299608,0.0629213794744734,0.132118276044012,0.292597931072368,0.221518620427052,0.0608310345031927,1.27586207436879e-05
